Learn Ruby on Rails,
Beginning Rails 4,9781430260349
Rails 4 in Action,9781617291098
The Rails 4 Way,9780133487930
Ruby on Rails Guides,2010072723
Мир Rails,
RAILS ANTI PATTERNS,9780321604811
Growing Rails Applications in Practice,
Agile Web Development with Rails 4,123456789
Crafting Rails 4 Applications: Expert Practices for Everyday Rails Development,9781937785550
Geocoding on Rails,
Reliably Deploying Rails Applications,
RUBY: Input-Output and File Handling,
Eloquent Ruby,9780321584106
Ruby Gotchas,
Writing Fast Ruby,
Everyday Scripting With Ruby: For Teams, Testers, and You,9780977616619
Practical Ruby for System Administration,9781590598214
Программирование на языке Ruby,9785940743576
Exceptional Ruby,
Programming Ruby 1.9 & 2.0: The Pragmatic Programmers Guide,9781937785499
Beginning Ruby: From Novice to Professional,9781430223634
Computer Science Programming Basics in Ruby,9781449355975
Metaprogramming Ruby: Program Like the Ruby Pros,9781934356470
The Book of Ruby: A Hands-On Guide for the Adventurous,9781593272944
Ruby Best Practices,9780596523008
The Ruby Programming Language,9780596516178
FXRuby: Create Lean and Mean GUIs With Ruby,9781934356074
Ruby Phrasebook,9780672328978
Practical Ruby Projects: Ideas for the Eclectic Programmer,9781590599112
Ruby by Example: Concepts and Code,9781593271480
Ruby Pocket Reference,9780596514815
Learning Ruby,9780596529864
Exception Handling in RUBY,
Ruby Cookbook,596523696
Изучаем Ruby,9785977502252
Язык программирования Ruby,9785459005622
Debugging Ruby,
Confident Ruby: 32 Patterns for Joyful Coding,
Ruby Science,
Ruby Under a Microscope: An Illustrated Guide to Ruby Internals (1st Edition),9781593275273
Deploying Rails: Automate, Deploy, Scale, Maintain, and Sleep at Night,9781934356951
Learning Rails 3,9781449309336
Objects on Rails,
Ruby on Rails Tutorial: Learn Web Development With Rails (2nd Edition) (Addison-Wesley Professional Ruby Series),9780321832054
The Rails View: Create a Beautiful and Maintainable User Experience,9781934356876
Rails Recipes: Rails 3 Edition,9781934356777
Rails 3 in Action,9781935182276
Выразительный Javascript,123456789
Быстрое Прототипирование с JS,
Ember.js Guides,
Backbone.js on Rails,
The RSpec Book: Behaviour Driven Development With RSpec, Cucumber, and Friends,9781934356371
Everyday Rails Testing with RSpec,
Building Web Apps With Ember.js,9781449370923
Rails meets React.js,
The Well-Grounded Rubyist, Second Edition,9781617291692
Metaprogramming Ruby 2: Program Like the Ruby Pros,9781941222126
Best of Ruby Quiz,976694077
Enterprise Recipes with Ruby and Rails,9781934356234
Linux Command Line and Shell Scripting Bible,9781118983843
The Ruby Way: Solutions and Techniques in Ruby Programming (3rd Edition),9780321714633
Bootstrap for Rails,9781783987269
Ruby on Rails Tutorial: Learn Web Development With Rails (3rd Edition),9780134077703
Ruby on Rails Tutorial Solutions Manual for Exercises,
Multitenancy With Rails,
Путь Ruby. ТРЕТЬЕ ИЗДАНИЕ,9785970603208
Ansible for DevOps: Server and Configuration Management for Humans,9780986393402
Static Site Generators,9781491926628
Function Programming in Python,9781491928561
Design Patterns in Ruby,9780321490452
Rails, Angular, Postgres, and Bootstrap: Powerful, Effective, and Efficient Full-Stack Web Development,9781680501261
Rails 4 Application Development: Hotshot,9781783286294
Deploying Rails Applications: A Step-By-Step Guide,9780978739201
Refactoring in Ruby,9780321545046
Practical Object-Oriented Design in Ruby: An Agile Primer,9780321721334
Rails Crash Course: A No-Nonsense Guide to Rails Development,9781593275723
Sinatra: Up and Running,9781449304232
Instant RSpec Test-Driven Development How-To,9781782165224
Learn Ruby on Rails for Web Development: Learn Rails the Fast and Easy Way!,9780692364215
Refactoring in Ruby,9780321545046
Practical Object-Oriented Design in Ruby: An Agile Primer,
Ruby Cookbook,1449373712
Instant RSpec Test - Driven Development How-To,9781782165224
